134,Abbott St,East,,GT,1,2012
216,Abbott St,East,,GT,2,2012
455,Abbott St,West,,HC,4,2014
516,Abbott St,East,,HC,1,2014
568,Abbott St,East,,HC,1,2014
603,Abbott St,West,,HC,1,2014
623,Abbott St,West,,HC,1,2014
590,Beatty St,East,Stadium-Chinatown,,2,2012
